"Nombre","Provincia","Región","Superficie","Población","Densidad","IDH2005"
"Guaitecas","Aysén","Región Aysén del General Carlos Ibáñez del Campo","620,6",1862,"2,4",654
"Aysén","Aysén","Región Aysén del General Carlos Ibáñez del Campo","29796,4",27187,"0,9",674
"Cisnes","Aysén","Región Aysén del General Carlos Ibáñez del Campo",16093,6166,"0,3",725
"O'Higgins","Capitán Prat","Región Aysén del General Carlos Ibáñez del Campo","8182,5",700,"0,1",572
"Tortel","Capitán Prat","Región Aysén del General Carlos Ibáñez del Campo","19710,6",531,0,655
"Cochrane","Capitán Prat","Región Aysén del General Carlos Ibáñez del Campo","8599,5",2759,"0,3",668
"Lago Verde","Coyhaique","Región Aysén del General Carlos Ibáñez del Campo","5422,3",925,"0,2",637
"Coyhaique","Coyhaique","Región Aysén del General Carlos Ibáñez del Campo","7290,2",59221,"6,8",751
"Río Ibáñez","General Carrera","Región Aysén del General Carlos Ibáñez del Campo","5997,2",2208,"0,4",654
"Chile Chico","General Carrera","Región Aysén del General Carlos Ibáñez del Campo","5737,1",5334,"0,8",707
"Taltal","Antofagasta","Región de Antofagasta","20405,1",13493,"0,5",716
"Antofagasta","Antofagasta","Región de Antofagasta","30718,1",348669,"9,7",734
"Sierra Gorda","Antofagasta","Región de Antofagasta",12886,1206,"0,1",789
"Mejillones","Antofagasta","Región de Antofagasta","3803,9",9752,"2,2","0,73"
"Ollagüe","El Loa","Región de Antofagasta",2964,332,"0,1",679
"San Pedro de Atacama","El Loa","Región de Antofagasta",23439,5605,"0,2",711
"Calama","El Loa","Región de Antofagasta","15596,9",147886,"9,1",757
"María Elena","Tocopilla","Región de Antofagasta",12197,4593,"0,6",779
"Tocopilla","Tocopilla","Región de Antofagasta","4038,8",20091,"5,9","0,69"
"Camarones","Arica","Región de Arica y Parinacota",3927,679,"0,3",751
"Arica","Arica","Región de Arica y Parinacota","4799,4",210936,736,"38,4"
"Putre","Parinacota","Región de Arica y Parinacota","5902,5",1462,"0,2",707
"General Lagos","Parinacota","Región de Arica y Parinacota","2244,4",739,"0,5","0,67"
"Chañaral","Chañaral","Región de Atacama",5772,14146,"2,2",714
"Diego de Almagro","Chañaral","Región de Atacama",18664,16452,1,789
"Tierra Amarilla","Copiapó","Región de Atacama",11191,13912,"1,1",686
