Pos.;Jugador;Selección;Goles;P. J.;Prom.;Ediciones;Ref
1.°;Miroslav Klose;GER Alemania;16;24;0,67;2002, 2006, 2010 y *2014*;[6]​
2.°;Ronaldo;BRA Brasil;15;19;0,79;*1994*, 1998, *2002* y 2006;[7]​
3.°;Gerd Müller;GER Alemania;14;13;1,08;1970 y *1974*;[8]​
4.°;Just Fontaine;FRA Francia;13;6;2,17;1958;[9]​
5.°;Pelé;BRA Brasil;12;14;0,86;*1958*, *1962*, 1966 y *1970*;[10]​
6.°;Sándor Kocsis;HUN Hungría;11;5;2,2;1954;[11]​
;Jürgen Klinsmann;GER Alemania;11;17;0,65;*1990*, 1994 y 1998;[12]​
8.°;Helmut Rahn;GER Alemania;10;10;1;*1954* y 1958;[13]​
;Gary Lineker;ENG Inglaterra;10;12;0,83;1986 y 1990;[14]​
;Gabriel Batistuta;ARG Argentina;10;12;0,83;1994, 1998 y 2002;[15]​
;Teófilo Cubillas;PER Perú;10;13;0,77;1970, 1978 y 1982;[16]​
;Thomas Müller;GER Alemania;10;16;0,63;2010, *2014* y 2018;[17]​
;Grzegorz Lato;POL Polonia;10;20;0,5;1974, 1978 y 1982;[18]​
14.°;Eusébio;POR Portugal;9;6;1,5;1966;[19]​
;Christian Vieri;ITA Italia;9;9;1;1998 y 2002;[20]​
;Vavá;BRA Brasil;9;10;0,9;*1958* y *1962*;[21]​
;David Villa;ESP España;9;12;0,75;2006, *2010* y 2014;[22]​
;Paolo Rossi;ITA Italia;9;14;0,64;1978, *1982* y 1986;[23]​
;Jairzinho;BRA Brasil;9;16;0,56;1966, *1970* y 1974;[24]​
;Roberto Baggio;ITA Italia;9;16;0,56;1990, 1994 y 1998;[25]​
;Karl-Heinz Rummenigge;GER Alemania;9;19;0,47;1978, 1982 y 1986;[26]​
;Uwe Seeler;GER Alemania;9;21;0,43;1958, 1962, 1966 y 1970;[27]​
23.°;Guillermo Stábile;ARG Argentina;8;4;2;1930;[28]​
;Leônidas;BRA Brasil;8;5;1,6;1934 y 1938;[29]​
;Ademir;BRA Brasil;8;6;1,33;1950;[30]​
;Óscar Míguez;URU Uruguay;8;7;1,14;*1950* y 1954;[31]​
;Rivaldo;BRA Brasil;8;14;0,57;1998 y *2002*;[32]​
;Rudi Völler;GER Alemania;8;15;0,53;1986, *1990* y 1994;[33]​
;Diego Armando Maradona;ARG Argentina;8;21;0,38;1982, *1986*, 1990 y 1994;[34]​
30.°;Oldrich Nejedly;Checoslovaquia;7;6;1,17;1934 y 1938;[35]​
;Lajos Tichy;HUN Hungría;7;8;0,88;1958, 1962 y 1966;[36]​
;Careca;Brasil;7;9;0,78;1986 y 1990;[37]​
;Andrzej Szarmach;Polonia;7;13;0,54;1974, 1978 y 1982;[38]​
;*Luis Suárez*;*Uruguay*;7;13;0,54;2010, 2014 y 2018;[39]​
;Johnny Rep;Países Bajos;7;13;0,54;1974 y 1978;[40]​
;Hans Schaefer;Alemania;7;15;0,47;*1954*, 1958 y 1962;[41]​
;*Cristiano Ronaldo*;*Portugal*;7;17;0,41;2006, 2010, 2014 y 2018;[42]​
