"Country",2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
"Antigua and Barbuda","18,9","18,4",18,"17,5","17,1","16,7","16,2","15,9","15,5","15,1","14,7","14,4",14,"13,7","13,3",13,"12,7"
"Argentina","28,3","27,8","27,3","26,8","26,3","25,8","25,3","24,8","24,4","23,9","23,4",23,"22,5","22,1","21,6","21,2","20,7"
"Bahamas","31,6",31,"30,5",30,"29,5",29,"28,5","28,1","27,6","27,1","26,6","26,2","25,7","25,3","24,8","24,3","23,9"
"Barbados","23,1","22,5",22,"21,4","20,9","20,4","19,8","19,4","18,9","18,4","17,9","17,4",17,"16,5",16,"15,6","15,1"
"Belize","24,1","23,6",23,"22,5",22,"21,5",21,"20,5",20,"19,6","19,1","18,7","18,2","17,8","17,3","16,9","16,4"
"Bolivia (Plurinational State of)","20,2","19,7","19,3","18,8","18,3","17,9","17,4",17,"16,5","16,1","15,7","15,2","14,8","14,4",14,"13,6","13,2"
"Brazil","22,1","21,6","21,1","20,6","20,1","19,6","19,2","18,7","18,2","17,8","17,3","16,8","16,4","15,9","15,5",15,"14,5"
"Chile",28,"27,5",27,"26,5","26,1","25,6","25,1","24,7","24,2","23,7","23,3","22,8","22,4","21,9","21,5",21,"20,6"
"Colombia","22,3","21,9","21,4","20,9","20,4",20,"19,5","19,1","18,7","18,2","17,8","17,4",17,"16,6","16,2","15,7","15,4"
"Costa Rica","25,7",25,"24,3","23,6","22,9","22,2","21,4","20,7",20,"19,3","18,6",18,"17,3","16,7",16,"15,4","14,8"
"Cuba","24,6","24,1","23,6","23,1","22,6","22,2","21,7","21,2","20,8","20,3","19,9","19,4",19,"18,6","18,2","17,7","17,3"
"Dominica","27,9","27,3","26,8","26,2","25,6",25,"24,5","23,9","23,4","22,9","22,3","21,8","21,3","20,8","20,3","19,9","19,4"
"Dominican Republic","27,6","26,9","26,1","25,3","24,5","23,8",23,"22,2","21,5","20,7",20,"19,3","18,6","17,9","17,2","16,6",16
"Ecuador","19,9","19,4",19,"18,5","18,1","17,6","17,2","16,8","16,4",16,"15,6","15,2","14,8","14,4",14,"13,6","13,2"
"El Salvador","24,6",24,"23,4","22,8","22,2","21,7","21,1","20,6",20,"19,5","18,9","18,4","17,8","17,3","16,7","16,1","15,6"
"Grenada","21,3","20,7","20,2","19,6","19,1","18,6","18,1","17,6","17,1","16,7","16,2","15,7","15,3","14,8","14,4","13,9","13,5"
"Guatemala","21,2","20,6",20,"19,5","18,9","18,4","17,8","17,3","16,8","16,3","15,8","15,3","14,8","14,3","13,9","13,4","12,9"
"Guyana","20,2","19,6",19,"18,4","17,9","17,4","16,8","16,3","15,8","15,3","14,8","14,3","13,8","13,3","12,8","12,4","11,9"
"Haiti","22,7","21,8",21,"20,2","19,4","18,6","17,7","16,9","16,2","15,4","14,7","13,9","13,3","12,6",12,"11,5","10,9"
"Honduras","21,4","20,8","20,1","19,5",19,"18,4","17,8","17,2","16,7","16,1","15,6",15,"14,5",14,"13,5","13,1","12,6"
"Jamaica","24,7","24,1","23,5","22,9","22,3","21,7","21,1","20,6",20,"19,5","18,9","18,4","17,9","17,4","16,9","16,4","15,9"
"Mexico","28,9","28,3","27,8","27,3","26,8","26,3","25,8","25,3","24,8","24,3","23,8","23,3","22,8","22,3","21,8","21,3","20,8"
"Nicaragua","23,7","23,1","22,5",22,"21,5","20,9","20,4","19,9","19,4","18,9","18,4","17,9","17,4","16,9","16,5",16,"15,6"
"Panama","22,7","22,2","21,6","21,1","20,6","20,1","19,6","19,1","18,6","18,2","17,7","17,2","16,7","16,2","15,7","15,2","14,7"
"Paraguay","20,3","19,8","19,2","18,7","18,2","17,7","17,2","16,7","16,2","15,7","15,2","14,7","14,2","13,8","13,3","12,8","12,3"
"Peru","19,7","19,3","18,9","18,5","18,1","17,7","17,3","16,9","16,5","16,1","15,7","15,3",15,"14,6","14,2","13,9","13,5"
"Saint Kitts and Nevis","22,9","22,3","21,6",21,"20,4","19,8","19,3","18,7","18,2","17,7","17,2","16,7","16,2","15,7","15,3","14,8","14,4"
"Saint Lucia","19,7","19,1","18,5",18,"17,4",17,"16,5","16,2","15,8","15,5","15,1","14,8","14,4","14,1","13,7","13,3","12,9"
"Saint Vincent and the Grenadines","23,7","23,1","22,4","21,8","21,2","20,6",20,"19,4","18,8","18,3","17,7","17,2","16,6","16,1","15,6","15,1","14,6"
"Suriname","26,4","25,9","25,4","24,9","24,4",24,"23,5",23,"22,5","22,1","21,6","21,2","20,7","20,3","19,8","19,4","18,9"
"Trinidad and Tobago","18,6",18,"17,4","16,9","16,3","15,8","15,3","14,8","14,3","13,8","13,3","12,9","12,4","11,9","11,5",11,"10,6"
"Uruguay","27,9","27,5",27,"26,5",26,"25,5","25,1","24,6","24,1","23,7","23,2","22,8","22,3","21,9","21,4",21,"20,6"
"Venezuela (Bolivarian Republic of)","25,6","25,2","24,8","24,4",24,"23,7","23,3","22,9","22,5","22,2","21,8","21,4",21,"20,6","20,3","19,9","20,6"
